commit,file,added_code,deleted_code,hash_clean,cve_id,hash,repo_url,rel_type,score,extraction_status,text_norm,cluster_kmeans
FreeRDP_d8a1ac342ae375644c70579c33b5cf38fb43b083,channels/rdpsnd/server/rdpsnd_main.c,	length = 1ull * context->priv->out_pending_frames * context->priv->src_bytes_per_frame;,	length = context->priv->out_pending_frames * context->priv->src_bytes_per_frame * 1ULL;,d8a1ac342ae375644c70579c33b5cf38fb43b083,CVE-2023-40186,d8a1ac342ae375644c70579c33b5cf38fb43b083,https://github.com/FreeRDP/FreeRDP,NVD_GIT_REPOBASED,90,COMPLETED,VAR = 1ull * VAR->VAR->VAR * VAR->VAR->VAR; VAR = VAR->VAR->VAR * VAR->VAR->VAR * 1ULL;,15
FreeRDP_d8a1ac342ae375644c70579c33b5cf38fb43b083,client/X11/xf_gdi.c,			size = 1ull * cmd->bmp.width * cmd->bmp.height * GetBytesPerPixel(format);,			size = cmd->bmp.width * cmd->bmp.height * GetBytesPerPixel(format) * 1ULL;,d8a1ac342ae375644c70579c33b5cf38fb43b083,CVE-2023-40186,d8a1ac342ae375644c70579c33b5cf38fb43b083,https://github.com/FreeRDP/FreeRDP,NVD_GIT_REPOBASED,90,COMPLETED,VAR = 1ull * VAR->VAR.VAR * VAR->VAR.VAR * VAR(VAR); VAR = VAR->VAR.VAR * VAR->VAR.VAR * VAR(VAR) * 1ULL;,15
FreeRDP_d8a1ac342ae375644c70579c33b5cf38fb43b083,client/X11/xf_gfx.c,"	size = 1ull * surface->gdi.scanline * surface->gdi.height;
		size = 1ull * surface->stageScanline * surface->gdi.height;","	size = surface->gdi.scanline * surface->gdi.height * 1ULL;
		size = surface->stageScanline * surface->gdi.height * 1ULL;",d8a1ac342ae375644c70579c33b5cf38fb43b083,CVE-2023-40186,d8a1ac342ae375644c70579c33b5cf38fb43b083,https://github.com/FreeRDP/FreeRDP,NVD_GIT_REPOBASED,90,COMPLETED,VAR = 1ull * VAR->VAR.VAR * VAR->VAR.VAR; VAR = 1ull * VAR->VAR * VAR->VAR.VAR; VAR = VAR->VAR.VAR * VAR->VAR.VAR * 1ULL; VAR = VAR->VAR * VAR->VAR.VAR * 1ULL;,15
FreeRDP_d8a1ac342ae375644c70579c33b5cf38fb43b083,client/X11/xf_graphics.c,"		size = 1ull * ci.height * ci.width * GetBytesPerPixel(CursorFormat);
	size = 1ull * pointer->height * pointer->width * GetBytesPerPixel(CursorFormat);","		size = ci.height * ci.width * GetBytesPerPixel(CursorFormat) * 1ULL;
	size = pointer->height * pointer->width * GetBytesPerPixel(CursorFormat) * 1ULL;",d8a1ac342ae375644c70579c33b5cf38fb43b083,CVE-2023-40186,d8a1ac342ae375644c70579c33b5cf38fb43b083,https://github.com/FreeRDP/FreeRDP,NVD_GIT_REPOBASED,90,COMPLETED,VAR = 1ull * VAR.VAR * VAR.VAR * VAR(VAR); VAR = 1ull * VAR->VAR * VAR->VAR * VAR(VAR); VAR = VAR.VAR * VAR.VAR * VAR(VAR) * 1ULL; VAR = VAR->VAR * VAR->VAR * VAR(VAR) * 1ULL;,15
FreeRDP_d8a1ac342ae375644c70579c33b5cf38fb43b083,client/X11/xf_rail.c,"	cache->entries = calloc(1ull * cache->numCaches * cache->numCacheEntries, sizeof(xfRailIcon));
	argbPixels = calloc(1ull * iconInfo->width * iconInfo->height, 4);","	cache->entries = calloc(cache->numCaches * cache->numCacheEntries * 1ULL, sizeof(xfRailIcon));
	argbPixels = calloc(iconInfo->width * iconInfo->height * 1ULL, 4);",d8a1ac342ae375644c70579c33b5cf38fb43b083,CVE-2023-40186,d8a1ac342ae375644c70579c33b5cf38fb43b083,https://github.com/FreeRDP/FreeRDP,NVD_GIT_REPOBASED,90,COMPLETED,"VAR->VAR = VAR(1ull * VAR->VAR * VAR->VAR, VAR(VAR)); VAR = VAR(1ull * VAR->VAR * VAR->VAR, 4); VAR->VAR = VAR(VAR->VAR * VAR->VAR * 1ULL, VAR(VAR)); VAR = VAR(VAR->VAR * VAR->VAR * 1ULL, 4);",15
FreeRDP_d8a1ac342ae375644c70579c33b5cf38fb43b083,libfreerdp/codec/clear.c,"		tmp = (BYTE*)realloc(vBarEntry->pixels, 1ull * vBarEntry->count * bpp);
			tmp = realloc(glyphEntry->pixels, 1ull * glyphEntry->count * bpp);","		tmp = (BYTE*)realloc(vBarEntry->pixels, vBarEntry->count * bpp * 1ULL);
			tmp = realloc(glyphEntry->pixels, glyphEntry->count * bpp * 1ULL);",d8a1ac342ae375644c70579c33b5cf38fb43b083,CVE-2023-40186,d8a1ac342ae375644c70579c33b5cf38fb43b083,https://github.com/FreeRDP/FreeRDP,NVD_GIT_REPOBASED,90,COMPLETED,"VAR = (VAR*)VAR(VAR->VAR, 1ull * VAR->VAR * VAR); VAR = VAR(VAR->VAR, 1ull * VAR->VAR * VAR); VAR = (VAR*)VAR(VAR->VAR, VAR->VAR * VAR * 1ULL); VAR = VAR(VAR->VAR, VAR->VAR * VAR * 1ULL);",15
FreeRDP_d8a1ac342ae375644c70579c33b5cf38fb43b083,libfreerdp/codec/color.c,"	dstData = (BYTE*)_aligned_malloc(1ull * width * height, 16);
		memset(pDstLine, 0, 1ull * dstBytesPerPixel * (nWidth - nXDst));
		memcpy(pDstLine, pFirstDstLineXOffset, 1ull * nWidth * bpp);","	dstData = (BYTE*)_aligned_malloc(width * height * 1ULL, 16);
		memset(pDstLine, 0, dstBytesPerPixel * (nWidth - nXDst) * 1ULL);
		memcpy(pDstLine, pFirstDstLineXOffset, nWidth * bpp * 1ULL);",d8a1ac342ae375644c70579c33b5cf38fb43b083,CVE-2023-40186,d8a1ac342ae375644c70579c33b5cf38fb43b083,https://github.com/FreeRDP/FreeRDP,NVD_GIT_REPOBASED,90,COMPLETED,"VAR = (VAR*)VAR(1ull * VAR * VAR, 16); VAR(VAR, 0, 1ull * VAR * (VAR - VAR)); VAR(VAR, VAR, 1ull * VAR * VAR); VAR = (VAR*)VAR(VAR * VAR * 1ULL, 16); VAR(VAR, 0, VAR * (VAR - VAR) * 1ULL); VAR(VAR, VAR, VAR * VAR * 1ULL);",15
FreeRDP_d8a1ac342ae375644c70579c33b5cf38fb43b083,libfreerdp/codec/h264.c,"		h264->pYUVData[0] = _aligned_malloc(1ull * h264->iStride[0] * height, 16);
		h264->pYUVData[1] = _aligned_malloc(1ull * h264->iStride[1] * height, 16);
		h264->pYUVData[2] = _aligned_malloc(1ull * h264->iStride[2] * height, 16);","		h264->pYUVData[0] = _aligned_malloc(h264->iStride[0] * height * 1ULL, 16);
		h264->pYUVData[1] = _aligned_malloc(h264->iStride[1] * height * 1ULL, 16);
		h264->pYUVData[2] = _aligned_malloc(h264->iStride[2] * height * 1ULL, 16);",d8a1ac342ae375644c70579c33b5cf38fb43b083,CVE-2023-40186,d8a1ac342ae375644c70579c33b5cf38fb43b083,https://github.com/FreeRDP/FreeRDP,NVD_GIT_REPOBASED,90,COMPLETED,"VAR->VAR[0] = VAR(1ull * VAR->VAR[0] * VAR, 16); VAR->VAR[1] = VAR(1ull * VAR->VAR[1] * VAR, 16); VAR->VAR[2] = VAR(1ull * VAR->VAR[2] * VAR, 16); VAR->VAR[0] = VAR(VAR->VAR[0] * VAR * 1ULL, 16); VAR->VAR[1] = VAR(VAR->VAR[1] * VAR * 1ULL, 16); VAR->VAR[2] = VAR(VAR->VAR[2] * VAR * 1ULL, 16);",15
FreeRDP_d8a1ac342ae375644c70579c33b5cf38fb43b083,libfreerdp/codec/progressive.c,		size_t dataLen = 1ull * tile->stride * tile->height;,		size_t dataLen = tile->stride * tile->height * 1ULL;,d8a1ac342ae375644c70579c33b5cf38fb43b083,CVE-2023-40186,d8a1ac342ae375644c70579c33b5cf38fb43b083,https://github.com/FreeRDP/FreeRDP,NVD_GIT_REPOBASED,90,COMPLETED,VAR VAR = 1ull * VAR->VAR * VAR->VAR; VAR VAR = VAR->VAR * VAR->VAR * 1ULL;,15
FreeRDP_d8a1ac342ae375644c70579c33b5cf38fb43b083,libfreerdp/gdi/bitmap.c,"	    _aligned_malloc(1ull * nWidth * nHeight * GetBytesPerPixel(hBitmap->format), 16);","	    _aligned_malloc(nWidth * nHeight * GetBytesPerPixel(hBitmap->format) * 1ULL, 16);",d8a1ac342ae375644c70579c33b5cf38fb43b083,CVE-2023-40186,d8a1ac342ae375644c70579c33b5cf38fb43b083,https://github.com/FreeRDP/FreeRDP,NVD_GIT_REPOBASED,90,COMPLETED,"VAR(1ull * VAR * VAR * VAR(VAR->VAR), 16); VAR(VAR * VAR * VAR(VAR->VAR) * 1ULL, 16);",15
