commit,file,added_code,deleted_code,hash_clean,cve_id,hash,repo_url,rel_type,score,extraction_status,text_norm,cluster_kmeans
airflow_f819dfcb24c597058b7b671f6317e4c84976975e,airflow/www/package.json,"    ""url-search-params-polyfill"": ""^8.1.0"",
    ""validator"": ""^13.9.0""","    ""url-search-params-polyfill"": ""^8.1.0""",f819dfcb24c597058b7b671f6317e4c84976975e,CVE-2023-29247,f819dfcb24c597058b7b671f6317e4c84976975e,https://github.com/apache/airflow,NVD_GIT_REPOBASED,102,COMPLETED,"""VAR-VAR-VAR-VAR"": ""^8.1.0"", ""VAR"": ""^13.9.0"" ""VAR-VAR-VAR-VAR"": ""^8.1.0""",13
airflow_f819dfcb24c597058b7b671f6317e4c84976975e,airflow/www/yarn.lock,"validator@^13.9.0:
  version ""13.9.0""
  resolved ""https://registry.yarnpkg.com/validator/-/validator-13.9.0.tgz#33e7b85b604f3bbce9bb1a05d5c3e22e1c2ff855""
  integrity sha512-B+dGG8U3fdtM0/aNK4/X8CXq/EcxU2WPrPEkJGslb47qyHsxmbggTWK0yEA4qnYVNF+nxNlN88o14hIcPmSIEA==
",,f819dfcb24c597058b7b671f6317e4c84976975e,CVE-2023-29247,f819dfcb24c597058b7b671f6317e4c84976975e,https://github.com/apache/airflow,NVD_GIT_REPOBASED,102,COMPLETED,"VAR@^13.9.0: VAR ""13.9.0"" VAR ""VAR: VAR VAR-VAR+VAR/VAR/VAR/VAR+VAR== ",13
anything-llm_3c88aec034934bcbad30c5ef1cab62cbbdb98e64,.nvmrc,v18.13.0,,3c88aec034934bcbad30c5ef1cab62cbbdb98e64,CVE-2023-4897,3c88aec034934bcbad30c5ef1cab62cbbdb98e64,https://github.com/mintplex-labs/anything-llm,NVD_DIRECT_COMMIT,1337,COMPLETED,VAR.13.0 ,13
anything-llm_3c88aec034934bcbad30c5ef1cab62cbbdb98e64,frontend/.nvmrc,v18.13.0,,3c88aec034934bcbad30c5ef1cab62cbbdb98e64,CVE-2023-4897,3c88aec034934bcbad30c5ef1cab62cbbdb98e64,https://github.com/mintplex-labs/anything-llm,NVD_DIRECT_COMMIT,1337,COMPLETED,VAR.13.0 ,13
anything-llm_3c88aec034934bcbad30c5ef1cab62cbbdb98e64,server/.nvmrc,v18.13.0,,3c88aec034934bcbad30c5ef1cab62cbbdb98e64,CVE-2023-4897,3c88aec034934bcbad30c5ef1cab62cbbdb98e64,https://github.com/mintplex-labs/anything-llm,NVD_DIRECT_COMMIT,1337,COMPLETED,VAR.13.0 ,13
anything-llm_dc3dfbf31495fe316b21ee184b9317b38101d30e,.nvmrc,v18.13.0,,dc3dfbf31495fe316b21ee184b9317b38101d30e,CVE-2023-4899,dc3dfbf31495fe316b21ee184b9317b38101d30e,https://github.com/mintplex-labs/anything-llm,NVD_DIRECT_COMMIT,1337,COMPLETED,VAR.13.0 ,13
anything-llm_dc3dfbf31495fe316b21ee184b9317b38101d30e,.nvmrc,v18.13.0,,dc3dfbf31495fe316b21ee184b9317b38101d30e,CVE-2023-4898,dc3dfbf31495fe316b21ee184b9317b38101d30e,https://github.com/mintplex-labs/anything-llm,NVD_DIRECT_COMMIT,1337,COMPLETED,VAR.13.0 ,13
anything-llm_dc3dfbf31495fe316b21ee184b9317b38101d30e,frontend/.nvmrc,v18.13.0,,dc3dfbf31495fe316b21ee184b9317b38101d30e,CVE-2023-4899,dc3dfbf31495fe316b21ee184b9317b38101d30e,https://github.com/mintplex-labs/anything-llm,NVD_DIRECT_COMMIT,1337,COMPLETED,VAR.13.0 ,13
anything-llm_dc3dfbf31495fe316b21ee184b9317b38101d30e,frontend/.nvmrc,v18.13.0,,dc3dfbf31495fe316b21ee184b9317b38101d30e,CVE-2023-4898,dc3dfbf31495fe316b21ee184b9317b38101d30e,https://github.com/mintplex-labs/anything-llm,NVD_DIRECT_COMMIT,1337,COMPLETED,VAR.13.0 ,13
anything-llm_dc3dfbf31495fe316b21ee184b9317b38101d30e,server/.nvmrc,v18.13.0,,dc3dfbf31495fe316b21ee184b9317b38101d30e,CVE-2023-4899,dc3dfbf31495fe316b21ee184b9317b38101d30e,https://github.com/mintplex-labs/anything-llm,NVD_DIRECT_COMMIT,1337,COMPLETED,VAR.13.0 ,13
